Time [s]	Kenobi Ch.  1(Target)[mbar]	Kenobi Ch.  1(Read)[mbar]	Kenobi Ch.  2(Target)[mbar]	Kenobi Ch.  2(Read)[mbar]	Kenobi Ch.  3(Target)[mbar]	Kenobi Ch.  3(Read)[mbar]	Kenobi Ch.  4(Target)[mbar]	Kenobi Ch.  4(Read)[mbar]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	Buffer2(Target) [µl/min]	Buffer2(Read)[µl/min]	bigsensor(Target) [µl/min]	bigsensor(Read)[µl/min]	
6.3610	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0149	0.0000	-1083.5175	
6.5600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4991	0.0000	0.4991	0.0000	-0.0139	0.0000	-1082.7209	
6.7610	0.0000	72.2656	0.0000	46.1426	0.0000	62.9883	0.0000	83.0078	0.0000	0.3823	0.0000	0.3823	0.0000	-0.0009	0.0000	-1083.5175	
6.9600	0.0000	71.5332	0.0000	45.6543	0.0000	62.2559	0.0000	82.7637	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0121	0.0000	-1082.7209	
7.1600	0.0000	72.0215	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0037	0.0000	-1083.3847	
7.3600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0093	0.0000	-1083.5175	
7.5610	0.0000	72.2656	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0037	0.0000	-1083.5175	
7.7600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0037	0.0000	-1083.5175	
7.9600	0.0000	72.2656	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0037	0.0000	-1083.5175	
8.1600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0130	0.0000	-1083.2520	
8.3600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4142	0.0000	0.4142	0.0000	-0.0037	0.0000	-1083.5175	
8.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4142	0.0000	0.4142	0.0000	-0.0093	0.0000	-1083.1192	
8.7600	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0130	0.0000	-1083.3847	
8.9600	0.0000	71.5332	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0019	0.0000	-1082.7209	
9.1600	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.5195	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0112	0.0000	-1082.7209	
9.3600	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0074	0.0000	-1083.5175	
9.5600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4142	0.0000	0.4142	0.0000	-0.0074	0.0000	-1083.5175	
9.7600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.2520	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0121	0.0000	-1083.5175	
9.9600	0.0000	72.0215	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0112	0.0000	-1083.5175	
10.1600	0.0000	71.5332	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0093	0.0000	-1082.7209	
10.3600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4354	0.0000	0.4354	0.0000	-0.0130	0.0000	-1083.5175	
10.5600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0139	0.0000	-1082.8537	
10.7600	0.0000	72.0215	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0112	0.0000	-1082.7209	
10.9600	0.0000	72.0215	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4991	0.0000	0.4991	0.0000	-0.0084	0.0000	-1083.5175	
11.1600	0.0000	71.7773	0.0000	45.8984	0.0000	62.5000	0.0000	82.5195	0.0000	0.5204	0.0000	0.5204	0.0000	-0.0130	0.0000	-1082.7209	
11.3600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0121	0.0000	-1083.2520	
11.5600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0112	0.0000	-1083.1192	
11.7600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0093	0.0000	-1083.3847	
11.9600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0121	0.0000	-1082.7209	
12.1600	0.0000	71.5332	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0093	0.0000	-1082.8537	
12.3610	0.0000	72.0215	0.0000	46.1426	0.0000	62.7441	0.0000	83.0078	0.0000	0.4036	0.0000	0.4036	0.0000	-0.0102	0.0000	-1083.5175	
12.5600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.5098	0.0000	0.5098	0.0000	-0.0149	0.0000	-1082.9865	
12.7600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0028	0.0000	-1083.5175	
12.9600	0.0000	71.7773	0.0000	45.6543	0.0000	62.2559	0.0000	82.5195	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0102	0.0000	-1082.7209	
13.1600	0.0000	72.0215	0.0000	46.1426	0.0000	62.9883	0.0000	83.0078	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0102	0.0000	-1083.5175	
13.3600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0121	0.0000	-1083.5175	
13.5600	0.0000	72.0215	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0084	0.0000	-1082.8537	
13.7600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4991	0.0000	0.4991	0.0000	-0.0019	0.0000	-1082.7209	
13.9600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0093	0.0000	-1083.5175	
14.1600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.2520	0.0000	0.4142	0.0000	0.4142	0.0000	-0.0093	0.0000	-1083.5175	
14.3600	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.4885	0.0000	0.4885	0.0000	-0.0139	0.0000	-1083.5175	
14.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0084	0.0000	-1083.5175	
14.7600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0121	0.0000	-1083.5175	
14.9600	0.0000	72.0215	0.0000	45.6543	0.0000	62.2559	0.0000	82.5195	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0056	0.0000	-1082.7209	
15.1600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0139	0.0000	-1083.5175	
15.3600	0.0000	72.0215	0.0000	45.6543	0.0000	62.2559	0.0000	82.5195	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0112	0.0000	-1082.9865	
15.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0056	0.0000	-1083.5175	
15.7600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4248	0.0000	0.4248	0.0000	-0.0102	0.0000	-1083.5175	
15.9600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0121	0.0000	-1082.5882	
16.1600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4460	0.0000	0.4460	0.0000	-0.0121	0.0000	-1083.5175	
