Time [s]	Kenobi Ch.  1(Target)[mbar]	Kenobi Ch.  1(Read)[mbar]	Kenobi Ch.  2(Target)[mbar]	Kenobi Ch.  2(Read)[mbar]	Kenobi Ch.  3(Target)[mbar]	Kenobi Ch.  3(Read)[mbar]	Kenobi Ch.  4(Target)[mbar]	Kenobi Ch.  4(Read)[mbar]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	Buffer2(Target) [µl/min]	Buffer2(Read)[µl/min]	bigsensor(Target) [µl/min]	bigsensor(Read)[µl/min]	
6.3410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8284	0.0000	0.8284	0.0000	-0.0037	0.0000	-1083.5175	
6.5410	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	83.0078	0.0000	0.8921	0.0000	0.8921	0.0000	-0.0009	0.0000	-1083.5175	
6.7410	0.0000	72.2656	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.9452	0.0000	0.9452	0.0000	-0.0037	0.0000	-1083.5175	
6.9410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0019	0.0000	-1082.7209	
7.1420	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8390	0.0000	0.8390	0.0000	-0.0028	0.0000	-1083.5175	
7.3410	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	82.5195	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0074	0.0000	-1082.7209	
7.5410	0.0000	72.0215	0.0000	45.8984	0.0000	63.2324	0.0000	83.0078	0.0000	0.9133	0.0000	0.9133	0.0000	0.0065	0.0000	-1083.5175	
7.7420	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0102	0.0000	-1083.2520	
7.9410	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0084	0.0000	-1083.5175	
8.1420	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	82.5195	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0074	0.0000	-1082.8537	
8.3410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0019	0.0000	-1083.5175	
8.5410	0.0000	72.2656	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0019	0.0000	-1083.5175	
8.7410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.9452	0.0000	0.9452	0.0000	-0.0009	0.0000	-1083.5175	
8.9410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8177	0.0000	0.8177	0.0000	0.0000	0.0000	-1083.5175	
9.1410	0.0000	72.0215	0.0000	45.6543	0.0000	63.2324	0.0000	83.0078	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0028	0.0000	-1083.5175	
9.3410	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8177	0.0000	0.8177	0.0000	0.0046	0.0000	-1083.5175	
9.5410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.5195	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0009	0.0000	-1082.7209	
9.7410	0.0000	71.5332	0.0000	45.4102	0.0000	62.9883	0.0000	83.0078	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0056	0.0000	-1083.5175	
9.9420	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0028	0.0000	-1083.5175	
10.1420	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8602	0.0000	0.8602	0.0000	-0.0056	0.0000	-1083.5175	
10.3410	0.0000	71.7773	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.8071	0.0000	0.8071	0.0000	-0.0037	0.0000	-1083.3847	
10.5420	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0084	0.0000	-1082.8537	
10.7420	0.0000	71.7773	0.0000	45.8984	0.0000	62.9883	0.0000	82.7637	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0028	0.0000	-1083.5175	
10.9410	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	82.7637	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0065	0.0000	-1082.9865	
11.1410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0056	0.0000	-1083.3847	
11.3410	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	82.7637	0.0000	0.8921	0.0000	0.8921	0.0000	-0.0037	0.0000	-1083.5175	
11.5410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8602	0.0000	0.8602	0.0000	-0.0093	0.0000	-1083.3847	
11.7410	0.0000	72.2656	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8708	0.0000	0.8708	0.0000	0.0009	0.0000	-1083.5175	
11.9410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0102	0.0000	-1083.5175	
12.1420	0.0000	71.5332	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.9558	0.0000	0.9558	0.0000	-0.0084	0.0000	-1083.5175	
12.3410	0.0000	72.2656	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8815	0.0000	0.8815	0.0000	0.0056	0.0000	-1083.5175	
12.5410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8602	0.0000	0.8602	0.0000	-0.0074	0.0000	-1083.5175	
12.7410	0.0000	71.5332	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0037	0.0000	-1083.1192	
12.9410	0.0000	71.5332	0.0000	45.4102	0.0000	62.7441	0.0000	83.0078	0.0000	0.9240	0.0000	0.9240	0.0000	-0.0046	0.0000	-1083.5175	
13.1430	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	82.5195	0.0000	0.8602	0.0000	0.8602	0.0000	-0.0019	0.0000	-1082.7209	
13.3410	0.0000	71.5332	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8921	0.0000	0.8921	0.0000	-0.0074	0.0000	-1083.2520	
13.5410	0.0000	72.0215	0.0000	45.4102	0.0000	62.7441	0.0000	82.5195	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0028	0.0000	-1082.7209	
